;HR;BR;Posture;Activity
09:41:33.435;73;24.6;-19;0.06
09:41:34.435;73;24.6;-17;0.08
09:41:35.435;73;23.6;-15;0.05
09:41:36.435;73;23.6;-15;0.04
09:41:37.435;70;22.5;-15;0.03
09:41:38.435;70;22.5;-14;0.06
09:41:39.435;69;21.4;-12;0.08
09:41:40.435;70;21.4;-12;0.06
09:41:41.435;71;20.5;-12;0.04
09:41:42.435;70;20.5;-13;0.07
09:41:43.435;72;20.0;-13;0.07
09:41:44.435;70;20.0;-13;0.06
09:41:45.435;69;19.5;-13;0.06
09:41:46.435;68;19.5;-11;0.05
09:41:47.435;68;19.3;-11;0.06
09:41:48.435;69;19.3;-12;0.04
09:41:49.435;69;19.5;-13;0.04
09:41:50.435;68;19.5;-14;0.03
09:41:51.435;70;19.3;-14;0.05
09:41:52.435;70;19.3;-12;0.15
09:41:53.435;72;19.2;-14;0.14
09:41:54.435;72;19.2;-17;0.11
09:41:55.435;72;19.4;-18;0.09
09:41:56.435;74;19.4;-19;0.11
09:41:57.435;73;19.5;-21;0.11
09:41:58.435;73;19.5;-19;0.07
09:41:59.435;73;19.4;-19;0.04
09:42:00.435;74;19.4;-20;0.06
09:42:01.435;73;19.3;-20;0.03
09:42:02.435;74;19.3;-19;0.03
09:42:03.435;74;19.1;-18;0.05
09:42:04.435;74;19.1;-18;0.03
09:42:05.435;74;18.7;-17;0.04
09:42:06.435;73;18.7;-17;0.04
09:42:07.435;72;18.1;-17;0.03
09:42:08.435;72;18.1;-17;0.03
09:42:09.435;70;17.2;-17;0.04
09:42:10.435;68;17.2;-18;0.06
09:42:11.435;69;16.4;-18;0.03
09:42:12.435;69;16.4;-18;0.03
09:42:13.435;69;15.6;-19;0.02
09:42:14.435;70;15.6;-19;0.03
09:42:15.435;69;14.7;-19;0.02
09:42:16.435;71;14.7;-20;0.04
09:42:17.435;70;13.8;-20;0.02
09:42:18.435;71;13.8;-21;0.02
09:42:19.435;71;13.3;-20;0.02
09:42:20.435;71;13.3;-19;0.03
09:42:21.435;73;13.2;-19;0.03
09:42:22.435;73;13.2;-18;0.04
09:42:23.435;75;12.8;-18;0.02
09:42:24.435;76;12.8;-19;0.02
09:42:25.435;75;12.4;-19;0.03
09:42:26.435;75;12.4;-18;0.04
09:42:27.435;72;12.4;-18;0.04
09:42:28.435;72;12.4;-17;0.03
09:42:29.435;72;12.6;-17;0.04
09:42:30.435;70;12.6;-17;0.04
09:42:31.435;70;12.9;-17;0.04
09:42:32.435;70;12.9;-18;0.06
09:42:33.435;69;13.1;-19;0.08
09:42:34.435;70;13.1;-20;0.06
09:42:35.435;69;13.6;-20;0.05
09:42:36.435;71;13.6;-20;0.04
09:42:37.435;71;13.7;-20;0.04
09:42:38.435;69;13.7;-17;0.08
09:42:39.435;71;13.8;-15;0.10
09:42:40.435;72;13.8;-14;0.06
09:42:41.435;71;13.7;-14;0.07
09:42:42.435;72;13.7;-14;0.05
09:42:43.435;71;13.5;-14;0.04
09:42:44.435;70;13.5;-17;0.23
09:42:45.435;71;13.6;-21;0.24
09:42:46.435;71;13.6;-22;0.14
09:42:47.435;71;14.1;-24;0.05
09:42:48.435;73;14.1;-24;0.06
09:42:49.435;72;14.2;-22;0.10
09:42:50.435;72;14.2;-22;0.12
09:42:51.435;71;14.5;-22;0.05
09:42:52.435;70;14.5;-21;0.06
09:42:53.435;69;14.9;-20;0.09
09:42:54.435;69;14.9;-20;0.06
09:42:55.435;68;15.2;-20;0.03
09:42:56.435;68;15.2;-19;0.07
09:42:57.435;69;15.8;-19;0.05
09:42:58.435;69;15.8;-19;0.09
09:42:59.435;69;16.0;-20;0.03
09:43:00.435;69;16.0;-20;0.04
09:43:01.435;69;16.5;-20;0.04
09:43:02.435;68;16.5;-20;0.03
09:43:03.435;69;17.2;-20;0.03
09:43:04.435;69;17.2;-20;0.03
09:43:05.435;69;17.6;-20;0.03
09:43:06.435;69;17.6;-19;0.04
09:43:07.435;68;17.6;-20;0.07
09:43:08.435;69;17.6;-21;0.03
09:43:09.435;67;18.0;-21;0.04
09:43:10.435;69;18.0;-21;0.03
09:43:11.435;70;18.3;-20;0.03
09:43:12.435;71;18.3;-20;0.03
09:43:13.435;72;18.5;-19;0.02
09:43:14.435;71;18.5;-19;0.04
09:43:15.435;69;18.8;-17;0.09
09:43:16.435;70;18.8;-17;0.05
09:43:17.435;69;19.0;-18;0.07
09:43:18.435;69;19.0;-19;0.07
09:43:19.435;70;19.8;-19;0.05
09:43:20.435;69;19.8;-19;0.03
09:43:21.435;68;20.2;-19;0.04
09:43:22.435;70;20.2;-19;0.04
09:43:23.435;70;20.6;-20;0.06
09:43:24.435;70;20.6;-21;0.04
09:43:25.435;70;21.2;-21;0.04
09:43:26.435;68;21.2;-20;0.04
09:43:27.435;68;21.8;-20;0.04
09:43:28.435;67;21.8;-19;0.04
09:43:29.435;65;22.0;-19;0.04
09:43:30.435;64;22.0;-19;0.04
09:43:31.435;66;21.9;-18;0.05
09:43:32.435;67;21.9;-18;0.03
09:43:33.435;67;22.1;-18;0.03
09:43:34.435;68;22.1;-18;0.03
09:43:35.435;69;22.3;-17;0.05
09:43:36.435;71;22.3;-17;0.04
09:43:37.435;73;22.2;-17;0.04
09:43:38.435;73;22.2;-17;0.03
09:43:39.435;74;21.8;-17;0.03
09:43:40.435;76;21.8;-17;0.04
09:43:41.435;75;21.4;-18;0.09
09:43:42.435;75;21.4;-17;0.03
09:43:43.435;73;21.1;-17;0.03
09:43:44.435;74;21.1;-17;0.03
09:43:45.435;74;20.8;-18;0.04
09:43:46.435;74;20.8;-21;0.15
09:43:47.435;75;20.5;-22;0.21
09:43:48.435;74;20.5;-24;0.23
09:43:49.435;75;21.1;-22;0.07
09:43:50.435;74;21.1;-23;0.04
09:43:51.435;74;21.7;-22;0.03
09:43:52.435;73;21.7;-20;0.04
09:43:53.435;71;21.9;-19;0.03
09:43:54.435;68;21.9;-19;0.03
09:43:55.435;68;21.9;-17;0.03
09:43:56.435;68;21.9;-17;0.04
09:43:57.435;69;21.8;-17;0.03
09:43:58.435;70;21.8;-18;0.05
09:43:59.435;70;22.0;-19;0.16
09:44:00.435;72;22.0;-21;0.24
09:44:01.435;72;23.1;-22;0.11
09:44:02.435;73;23.1;-23;0.04
09:44:03.435;72;24.1;-23;0.04
09:44:04.435;70;24.1;-22;0.07
09:44:05.435;72;25.0;-22;0.08
09:44:06.435;72;25.0;-22;0.04
09:44:07.435;74;25.5;-21;0.04
09:44:08.435;73;25.5;-19;0.04
09:44:09.435;71;25.3;-19;0.03
09:44:10.435;71;25.3;-19;0.03
09:44:11.435;70;25.5;-18;0.03
09:44:12.435;69;25.5;-19;0.02
09:44:13.435;68;25.6;-19;0.03
09:44:14.435;67;25.6;-19;0.06
09:44:15.435;66;26.1;-19;0.06
09:44:16.435;68;26.1;-18;0.05
09:44:17.435;68;26.8;-19;0.04
09:44:18.435;67;26.8;-19;0.04
09:44:19.435;67;27.1;-19;0.06
09:44:20.435;67;27.1;-19;0.03
09:44:21.435;67;26.5;-19;0.03
09:44:22.435;68;26.5;-19;0.03
09:44:23.435;66;25.9;-20;0.03
09:44:24.435;66;25.9;-20;0.06
09:44:25.435;68;25.5;-19;0.02
09:44:26.435;66;25.5;-19;0.03
09:44:27.435;65;25.0;-19;0.04
09:44:28.435;66;25.0;-19;0.04
09:44:29.435;65;24.6;-19;0.08
09:44:30.435;66;24.6;-20;0.06
09:44:31.435;68;24.3;-20;0.07
09:44:32.435;69;24.3;-21;0.11
09:44:33.435;68;23.9;-21;0.04
09:44:34.435;69;23.9;-21;0.04
09:44:35.435;69;23.6;-20;0.04
09:44:36.435;70;23.6;-20;0.05
09:44:37.435;72;23.4;-19;0.07
09:44:38.435;72;23.4;-19;0.04
09:44:39.435;73;22.9;-20;0.03
09:44:40.435;74;22.9;-19;0.03
09:44:41.435;72;22.7;-19;0.04
09:44:42.435;71;22.7;-19;0.05
09:44:43.435;71;22.5;-19;0.05
09:44:44.435;70;22.5;-19;0.06
09:44:45.435;71;22.4;-19;0.06
09:44:46.435;70;22.4;-18;0.04
09:44:47.435;69;22.5;-19;0.08
09:44:48.435;69;22.5;-19;0.04
09:44:49.435;69;22.7;-19;0.04
09:44:50.435;68;22.7;-19;0.03
09:44:51.435;70;22.8;-19;0.04
09:44:52.435;69;22.8;-19;0.05
09:44:53.435;69;23.2;-20;0.07
09:44:54.435;68;23.2;-19;0.04
09:44:55.435;67;23.3;-19;0.05
09:44:56.435;68;23.3;-19;0.06
09:44:57.435;67;23.4;-19;0.07
09:44:58.435;67;23.4;-19;0.06
09:44:59.435;69;23.7;-17;0.12
09:45:00.435;67;23.7;-17;0.12
09:45:01.435;66;24.3;-17;0.07
09:45:02.435;65;24.3;-18;0.02
09:45:03.435;63;24.6;-18;0.06
09:45:04.435;64;24.6;-18;0.07
09:45:05.435;65;24.5;-18;0.16
09:45:06.435;64;24.5;-18;0.05
09:45:07.435;66;24.2;-18;0.07
09:45:08.435;66;24.2;-18;0.09
09:45:09.435;66;23.9;-18;0.05
09:45:10.435;68;23.9;-19;0.04
09:45:11.435;66;23.6;-18;0.06
09:45:12.435;64;23.6;-19;0.07
09:45:13.435;63;23.0;-19;0.08
09:45:14.435;64;23.0;-19;0.08
09:45:15.435;64;22.8;-19;0.04
09:45:16.435;65;22.8;-19;0.06
09:45:17.435;65;22.7;-19;0.04
09:45:18.435;65;22.7;-19;0.05
09:45:19.435;66;22.5;-19;0.05
09:45:20.435;65;22.5;-18;0.04
09:45:21.435;65;21.8;-18;0.03
09:45:22.435;69;21.8;-15;0.08
09:45:23.435;71;21.4;-14;0.09
09:45:24.435;72;21.4;-15;0.05
09:45:25.435;73;21.1;-15;0.06
09:45:26.435;73;21.1;-15;0.04
09:45:27.435;74;21.1;-15;0.03
09:45:28.435;74;21.1;-15;0.03
09:45:29.435;72;21.1;-15;0.08
09:45:30.435;73;21.1;-15;0.06
09:45:31.435;75;21.1;-17;0.05
09:45:32.435;77;21.1;-17;0.03
09:45:33.435;77;21.3;-17;0.03
09:45:34.435;74;21.3;-19;0.13
09:45:35.435;73;21.6;-21;0.32
09:45:36.435;72;21.6;-22;0.16
09:45:37.435;72;21.8;-23;0.03
09:45:38.435;72;21.8;-24;0.03
09:45:39.435;70;22.1;-21;0.08
09:45:40.435;72;22.1;-21;0.03
09:45:41.435;73;22.4;-21;0.06
09:45:42.435;74;22.4;-19;0.05
09:45:43.435;74;22.7;-19;0.04
09:45:44.435;73;22.7;-19;0.05
09:45:45.435;72;22.9;-19;0.05
09:45:46.435;72;22.9;-19;0.03
09:45:47.435;71;20.6;-19;0.03
09:45:48.435;72;20.6;-19;0.03
09:45:49.435;72;18.5;-18;0.05
09:45:50.435;72;18.5;-18;0.05
09:45:51.435;73;17.0;-18;0.05
09:45:52.435;73;17.0;-18;0.05
09:45:53.435;73;15.6;-18;0.06
09:45:54.435;72;15.6;-17;0.08
09:45:55.435;70;14.6;-17;0.06
09:45:56.435;70;14.6;-17;0.07
09:45:57.435;70;14.1;-17;0.04
09:45:58.435;68;14.1;-17;0.07
09:45:59.435;69;13.9;-17;0.05
09:46:00.435;68;13.9;-17;0.04
09:46:01.435;68;13.7;-18;0.04
09:46:02.435;70;13.7;-18;0.05
09:46:03.435;69;13.8;-19;0.04
09:46:04.435;67;13.8;-19;0.08
09:46:05.435;68;14.2;-18;0.07
09:46:06.435;68;14.2;-18;0.10
09:46:07.435;66;14.6;-18;0.06
09:46:08.435;68;14.6;-19;0.07
09:46:09.435;66;15.2;-19;0.09
09:46:10.435;66;15.2;-18;0.13
09:46:11.435;67;15.8;-19;0.11
09:46:12.435;66;15.8;-18;0.09
09:46:13.435;67;16.6;-18;0.06
09:46:14.435;68;16.6;-19;0.06
09:46:15.435;69;17.1;-18;0.03
09:46:16.435;70;17.1;-17;0.06
09:46:17.435;71;17.4;-17;0.07
09:46:18.435;69;17.4;-17;0.10
09:46:19.435;69;18.1;-17;0.06
09:46:20.435;68;18.1;-17;0.08
09:46:21.435;67;19.0;-18;0.09
09:46:22.435;68;19.0;-18;0.04
09:46:23.435;67;19.8;-18;0.06
09:46:24.435;65;19.8;-18;0.03
09:46:25.435;66;20.5;-17;0.05
09:46:26.435;66;20.5;-17;0.04
09:46:27.435;67;21.5;-17;0.03
09:46:28.435;68;21.5;-17;0.03
09:46:29.435;68;22.0;-17;0.04
09:46:30.435;69;22.0;-17;0.05
09:46:31.435;68;22.5;-17;0.04
09:46:32.435;67;22.5;-17;0.03
09:46:33.435;69;22.7;-15;0.03
09:46:34.435;70;22.7;-14;0.07
09:46:35.435;72;23.1;-14;0.06
09:46:36.435;75;23.1;-13;0.05
09:46:37.435;74;23.5;-14;0.06
09:46:38.435;72;23.5;-15;0.04
09:46:39.435;71;23.2;-17;0.04
09:46:40.435;71;23.2;-15;0.05
09:46:41.435;70;23.0;-17;0.04
09:46:42.435;68;23.0;-18;0.04
09:46:43.435;69;22.8;-18;0.05
09:46:44.435;69;22.8;-21;0.12
09:46:45.435;69;22.6;-21;0.22
09:46:46.435;70;22.6;-22;0.20
09:46:47.435;71;22.8;-22;0.04
09:46:48.435;72;22.8;-20;0.05
09:46:49.435;72;23.2;-19;0.04
09:46:50.435;71;23.2;-19;0.02
09:46:51.435;71;23.3;-19;0.04
09:46:52.435;73;23.3;-19;0.04
09:46:53.435;75;23.6;-19;0.04
09:46:54.435;74;23.6;-19;0.06
09:46:55.435;73;23.7;-19;0.04
09:46:56.435;72;23.7;-19;0.03
09:46:57.435;69;23.7;-19;0.03
09:46:58.435;69;23.7;-18;0.03
09:46:59.435;68;24.0;-18;0.07
09:47:00.435;67;24.0;-18;0.05
09:47:01.435;69;24.0;-18;0.02
09:47:02.435;70;24.0;-17;0.04
09:47:03.435;71;24.0;-15;0.06
09:47:04.435;72;24.0;-15;0.10
09:47:05.435;71;24.0;-17;0.19
09:47:06.435;70;24.0;-19;0.15
09:47:07.435;71;23.7;-20;0.03
09:47:08.435;69;23.7;-21;0.06
09:47:09.435;69;23.5;-21;0.06
09:47:10.435;70;23.5;-20;0.05
09:47:11.435;69;23.2;-20;0.03
09:47:12.435;70;23.2;-20;0.02
09:47:13.435;69;23.0;-19;0.04
09:47:14.435;69;23.0;-19;0.03
09:47:15.435;69;22.8;-19;0.02
09:47:16.435;68;22.8;-19;0.03
09:47:17.435;68;22.6;-19;0.04
09:47:18.435;69;22.6;-19;0.05
09:47:19.435;69;22.5;-19;0.04
09:47:20.435;67;22.5;-19;0.03
09:47:21.435;68;22.6;-19;0.02
09:47:22.435;68;22.6;-19;0.04
09:47:23.435;68;22.5;-18;0.04
09:47:24.435;68;22.5;-19;0.08
09:47:25.435;68;22.0;-18;0.05
09:47:26.435;71;22.0;-19;0.06
09:47:27.435;72;21.3;-18;0.06
09:47:28.435;72;21.3;-18;0.04
09:47:29.435;72;20.7;-18;0.09
09:47:30.435;72;20.7;-18;0.06
09:47:31.435;71;20.1;-18;0.10
09:47:32.435;72;20.1;-18;0.10
09:47:33.435;72;19.6;-18;0.17
09:47:34.435;72;19.6;-18;0.10
09:47:35.435;72;19.5;-18;0.05
09:47:36.435;70;19.5;-18;0.08
09:47:37.435;72;19.6;-18;0.06
09:47:38.435;70;19.6;-18;0.08
09:47:39.435;70;19.4;-18;0.06
09:47:40.435;70;19.4;-18;0.04
09:47:41.435;69;19.3;-17;0.08
09:47:42.435;72;19.3;-17;0.06
09:47:43.435;72;19.5;-18;0.07
09:47:44.435;72;19.5;-17;0.03
09:47:45.435;73;19.6;-17;0.05
09:47:46.435;74;19.6;-17;0.03
09:47:47.435;73;20.1;-17;0.03
09:47:48.435;72;20.1;-17;0.04
09:47:49.435;70;20.4;-17;0.07
09:47:50.435;70;20.4;-17;0.08
09:47:51.435;71;21.1;-17;0.08
09:47:52.435;70;21.1;-17;0.09
09:47:53.435;71;21.7;-17;0.03
09:47:54.435;70;21.7;-18;0.04
09:47:55.435;69;21.9;-18;0.04
09:47:56.435;70;21.9;-18;0.03
09:47:57.435;68;21.8;-18;0.03
09:47:58.435;69;21.8;-18;0.03
09:47:59.435;68;22.0;-18;0.03
09:48:00.435;67;22.0;-19;0.05
09:48:01.435;68;22.2;-19;0.04
09:48:02.435;68;22.2;-19;0.04
09:48:03.435;68;22.1;-19;0.04
09:48:04.435;69;22.1;-18;0.03
09:48:05.435;68;22.0;-18;0.04
09:48:06.435;69;22.0;-18;0.06
09:48:07.435;69;21.9;-18;0.04
09:48:08.435;67;21.9;-18;0.04
09:48:09.435;69;21.5;-17;0.07
09:48:10.435;70;21.5;-15;0.05
09:48:11.435;70;21.5;-15;0.06
09:48:12.435;70;21.5;-14;0.03
09:48:13.435;68;21.1;-15;0.05
09:48:14.435;69;21.1;-15;0.05
09:48:15.435;69;21.1;-17;0.05
09:48:16.435;70;21.1;-17;0.04
09:48:17.435;71;21.1;-17;0.05
09:48:18.435;72;21.1;-18;0.07
09:48:19.435;72;20.8;-18;0.03
09:48:20.435;72;20.8;-18;0.06
09:48:21.435;70;20.5;-18;0.05
09:48:22.435;70;20.5;-18;0.07
09:48:23.435;70;20.6;-18;0.04
09:48:24.435;71;20.6;-18;0.06
09:48:25.435;73;20.9;-18;0.11
09:48:26.435;74;20.9;-17;0.04
09:48:27.435;75;21.2;-18;0.18
09:48:28.435;75;21.2;-18;0.03
09:48:29.435;77;21.5;-18;0.05
09:48:30.435;77;21.5;-19;0.10
09:48:31.435;77;21.1;-19;0.16
09:48:32.435;75;21.1;-18;0.07
09:48:33.435;73;21.1;-18;0.07
09:48:34.435;73;21.1;-18;0.13
09:48:35.435;74;20.8;-15;0.06
09:48:36.435;74;20.8;-17;0.06
09:48:37.435;75;20.5;-17;0.06
09:48:38.435;74;20.5;-15;0.07
09:48:39.435;72;20.6;-15;0.03
09:48:40.435;72;20.6;-15;0.03
09:48:41.435;70;20.6;-14;0.05
09:48:42.435;69;20.6;-15;0.05
09:48:43.435;70;20.7;-17;0.04
09:48:44.435;71;20.7;-18;0.17
09:48:45.435;73;20.7;-19;0.19
09:48:46.435;73;20.7;-21;0.16
09:48:47.435;73;21.0;-21;0.03
09:48:48.435;73;21.0;-22;0.03
09:48:49.435;70;21.6;-22;0.04
09:48:50.435;69;21.6;-23;0.05
09:48:51.435;68;22.4;-22;0.05
09:48:52.435;69;22.4;-21;0.08
09:48:53.435;70;22.9;-18;0.09
09:48:54.435;72;22.9;-15;0.11
09:48:55.435;72;23.3;-17;0.04
09:48:56.435;72;23.3;-13;0.09
09:48:57.435;73;23.7;-13;0.06
09:48:58.435;71;23.7;-14;0.05
09:48:59.435;70;23.7;-14;0.04
09:49:00.435;70;23.7;-15;0.08
09:49:01.435;70;23.7;-18;0.21
09:49:02.435;70;23.7;-20;0.18
09:49:03.435;70;23.8;-21;0.05
09:49:04.435;69;23.8;-21;0.02
09:49:05.435;69;23.8;-21;0.03
09:49:06.435;66;23.8;-21;0.04
09:49:07.435;67;23.2;-21;0.05
09:49:08.435;69;23.2;-21;0.06
09:49:09.435;70;22.4;-21;0.04
09:49:10.435;72;22.4;-21;0.03
09:49:11.435;72;21.7;-20;0.04
09:49:12.435;72;21.7;-21;0.02
09:49:13.435;71;21.3;-21;0.06
09:49:14.435;70;21.3;-20;0.04
09:49:15.435;71;21.0;-19;0.04
09:49:16.435;72;21.0;-19;0.03
09:49:17.435;74;20.4;-19;0.03
09:49:18.435;74;20.4;-19;0.13
09:49:19.435;73;20.2;-19;0.04
09:49:20.435;73;20.2;-19;0.07
09:49:21.435;72;19.9;-19;0.06
09:49:22.435;72;19.9;-19;0.06
09:49:23.435;72;19.8;-19;0.03
09:49:24.435;72;19.8;-19;0.05
09:49:25.435;73;19.3;-19;0.05
09:49:26.435;72;19.3;-18;0.06
09:49:27.435;72;19.2;-17;0.10
09:49:28.435;74;19.2;-17;0.08
09:49:29.435;75;19.3;-15;0.10
09:49:30.435;75;19.3;-17;0.04
09:49:31.435;76;19.2;-15;0.04
09:49:32.435;77;19.2;-16;0.03
09:49:33.435;78;19.1;-15;0.04
09:49:34.435;76;19.1;-15;0.04
09:49:35.435;74;19.3;-15;0.04
09:49:36.435;71;19.3;-15;0.04
09:49:37.435;70;19.5;-15;0.06
09:49:38.435;72;19.5;-15;0.04
09:49:39.435;71;19.6;-17;0.03
09:49:40.435;71;19.6;-17;0.04
09:49:41.435;72;19.7;-17;0.05
09:49:42.435;70;19.7;-15;0.04
09:49:43.435;70;19.6;-14;0.03
09:49:44.435;71;19.6;-14;0.04
09:49:45.435;70;20.0;-14;0.04
09:49:46.435;68;20.0;-13;0.05
09:49:47.435;67;20.1;-12;0.07
09:49:48.435;67;20.1;-12;0.05
09:49:49.435;66;19.9;-12;0.06
09:49:50.435;67;19.9;-12;0.06
09:49:51.435;67;20.0;-12;0.10
09:49:52.435;65;20.0;-13;0.09
09:49:53.435;68;20.1;-15;0.08
09:49:54.435;66;20.1;-15;0.07
09:49:55.435;67;19.9;-17;0.05
09:49:56.435;68;19.9;-18;0.05
09:49:57.435;71;20.0;-17;0.05
09:49:58.435;73;20.0;-15;0.05
09:49:59.435;72;19.8;-15;0.06
09:50:00.435;73;19.8;-14;0.06
09:50:01.435;70;19.3;-14;0.07
09:50:02.435;67;19.3;-14;0.12
09:50:03.435;68;19.8;-15;0.07
09:50:04.435;67;19.8;-15;0.06
09:50:05.435;68;19.6;-17;0.04
09:50:06.435;67;19.6;-15;0.06
09:50:07.435;65;19.7;-15;0.05
09:50:08.435;68;19.7;-14;0.07
09:50:09.435;71;19.9;-13;0.07
09:50:10.435;72;19.9;-11;0.05
09:50:11.435;74;20.0;-11;0.08
09:50:12.435;74;20.0;-11;0.09
09:50:13.435;72;20.1;-14;0.10
09:50:14.435;69;20.1;-17;0.11
09:50:15.435;68;20.2;-19;0.08
09:50:16.435;67;20.2;-20;0.11
09:50:17.435;67;20.0;-18;0.13
09:50:18.435;69;20.0;-18;0.10
09:50:19.435;70;20.1;-19;0.04
09:50:20.435;70;20.1;-18;0.03
09:50:21.435;70;20.1;-17;0.03
09:50:22.435;69;20.1;-17;0.03
09:50:23.435;70;19.3;-18;0.03
09:50:24.435;70;19.3;-17;0.05
09:50:25.435;70;18.9;-17;0.06
09:50:26.435;71;18.9;-17;0.04
09:50:27.435;70;18.5;-16;0.03
09:50:28.435;69;18.5;-17;0.02
09:50:29.435;68;18.5;-17;0.02
09:50:30.435;65;18.5;-17;0.03
09:50:31.435;65;18.4;-17;0.03
09:50:32.435;67;18.4;-15;0.09
09:50:33.435;70;18.4;-15;0.10
09:50:34.435;71;18.4;-17;0.09
09:50:35.435;71;18.4;-17;0.06
09:50:36.435;71;18.4;-18;0.08
09:50:37.435;70;18.3;-18;0.05
09:50:38.435;72;18.3;-18;0.04
09:50:39.435;71;18.3;-17;0.04
09:50:40.435;69;18.3;-18;0.05
09:50:41.435;68;18.3;-18;0.06
09:50:42.435;67;18.3;-19;0.04
09:50:43.435;67;18.3;-19;0.04
09:50:44.435;68;18.3;-19;0.02
09:50:45.435;69;18.2;-19;0.02
09:50:46.435;72;18.2;-19;0.02
09:50:47.435;73;17.9;-19;0.03
09:50:48.435;71;17.9;-18;0.03
09:50:49.435;69;17.6;-18;0.10
09:50:50.435;66;17.6;-19;0.21
09:50:51.435;64;17.7;-19;0.12
09:50:52.435;64;17.7;-19;0.03
09:50:53.435;66;17.4;-19;0.05
09:50:54.435;68;17.4;-19;0.04
09:50:55.435;70;17.5;-19;0.03
09:50:56.435;69;17.5;-19;0.03
09:50:57.435;70;17.5;-19;0.02
09:50:58.435;70;17.5;-19;0.02
09:50:59.435;69;17.6;-19;0.03
09:51:00.435;70;17.6;-20;0.04
09:51:01.435;71;17.9;-20;0.03
09:51:02.435;72;17.9;-21;0.03
09:51:03.435;72;18.5;-20;0.02
09:51:04.435;71;18.5;-21;0.02
09:51:05.435;72;19.1;-21;0.02
09:51:06.435;71;19.1;-21;0.02
09:51:07.435;70;20.1;-21;0.02
09:51:08.435;72;20.1;-19;0.06
09:51:09.435;74;20.8;-20;0.03
09:51:10.435;74;20.8;-20;0.02
09:51:11.435;74;21.1;-20;0.02
09:51:12.435;73;21.1;-19;0.03
09:51:13.435;72;21.7;-20;0.02
09:51:14.435;73;21.7;-19;0.02
09:51:15.435;72;22.2;-19;0.02
09:51:16.435;72;22.2;-19;0.02
09:51:17.435;71;23.0;-19;0.02
09:51:18.435;70;23.0;-19;0.01
09:51:19.435;71;23.7;-19;0.05
09:51:20.435;70;23.7;-18;0.09
09:51:21.435;71;24.6;-18;0.08
09:51:22.435;70;24.6;-18;0.07
09:51:23.435;69;25.2;-19;0.06
09:51:24.435;69;25.2;-18;0.09
09:51:25.435;67;25.9;-18;0.13
09:51:26.435;68;25.9;-18;0.03
09:51:27.435;67;26.3;-19;0.02
09:51:28.435;67;26.3;-19;0.03
09:51:29.435;68;27.0;-19;0.04
09:51:30.435;68;27.0;-19;0.08
09:51:31.435;68;27.6;-19;0.09
09:51:32.435;68;27.6;-19;0.02
09:51:33.435;67;27.8;-19;0.03
09:51:34.435;67;27.8;-19;0.04
09:51:35.435;66;28.1;-20;0.04
09:51:36.435;66;28.1;-20;0.04
09:51:37.435;67;28.2;-19;0.06
09:51:38.435;67;28.2;-20;0.07
09:51:39.435;68;28.4;-20;0.05
09:51:40.435;68;28.4;-21;0.06
09:51:41.435;68;28.3;-21;0.05
09:51:42.435;69;28.3;-21;0.03
09:51:43.435;68;28.4;-20;0.02
09:51:44.435;68;28.4;-20;0.03
09:51:45.435;67;28.0;-20;0.03
09:51:46.435;66;28.0;-20;0.02
09:51:47.435;65;27.6;-20;0.02
09:51:48.435;66;27.6;-19;0.04
09:51:49.435;67;27.2;-20;0.08
09:51:50.435;67;27.2;-20;0.10
09:51:51.435;69;26.6;-20;0.04
09:51:52.435;70;26.6;-20;0.02
09:51:53.435;70;26.4;-19;0.02
09:51:54.435;71;26.4;-21;0.03
09:51:55.435;71;25.8;-19;0.03
09:51:56.435;69;25.8;-19;0.02
09:51:57.435;70;25.1;-18;0.05
09:51:58.435;68;25.1;-19;0.09
09:51:59.435;70;24.7;-19;0.07
09:52:00.435;71;24.7;-19;0.14
09:52:01.435;72;24.6;-19;0.06
09:52:02.435;73;24.6;-19;0.02
09:52:03.435;72;24.5;-18;0.07
09:52:04.435;71;24.5;-19;0.01
09:52:05.435;70;25.1;-18;0.02
09:52:06.435;70;25.1;-18;0.04
09:52:07.435;70;25.6;-18;0.05
09:52:08.435;71;25.6;-18;0.02
09:52:09.435;70;26.0;-19;0.02
09:52:10.435;67;26.0;-19;0.02
09:52:11.435;68;26.7;-19;0.02
09:52:12.435;67;26.7;-19;0.03
09:52:13.435;68;27.0;-18;0.06
09:52:14.435;69;27.0;-18;0.04
09:52:15.435;68;27.6;-17;0.03
09:52:16.435;69;27.6;-17;0.04
09:52:17.435;70;28.5;-17;0.03
09:52:18.435;72;28.5;-17;0.02
09:52:19.435;73;28.6;-17;0.05
09:52:20.435;72;28.6;-17;0.06
09:52:21.435;73;28.1;-17;0.06
09:52:22.435;71;28.1;-17;0.05
09:52:23.435;71;27.7;-18;0.03
09:52:24.435;71;27.7;-17;0.06
09:52:25.435;71;27.1;-16;0.03
09:52:26.435;73;27.1;-15;0.06
09:52:27.435;72;26.8;-17;0.04
09:52:28.435;71;26.8;-17;0.03
09:52:29.435;70;26.5;-16;0.04
09:52:30.435;69;26.5;-14;0.11
09:52:31.435;68;26.3;-12;0.14
09:52:32.435;67;26.3;-14;0.09
09:52:33.435;65;26.0;-13;0.04
09:52:34.435;66;26.0;-14;0.05
09:52:35.435;65;26.1;-14;0.05
09:52:36.435;64;26.1;-15;0.04
09:52:37.435;65;26.2;-15;0.02
